date,av_eurusd_close
2018-03-13,1.23925
2018-03-12,1.23334
2018-03-09,1.23054
2018-03-08,1.23130
2018-03-07,1.24102
2018-03-06,1.24206
2018-03-05,1.23340
2018-03-02,1.23170
2018-03-01,1.22743
2018-02-28,1.21924
2018-02-27,1.22351
2018-02-26,1.23125
2018-02-23,1.22940
2018-02-22,1.23297
2018-02-21,1.22754
2018-02-20,1.23330
2018-02-19,1.24059
2018-02-16,1.24110
2018-02-15,1.25003
2018-02-14,1.24538
2018-02-13,1.23499
2018-02-12,1.22906
2018-02-09,1.22515
2018-02-08,1.22469
2018-02-07,1.22535
2018-02-06,1.23803
2018-02-05,1.23755
2018-02-02,1.24570
2018-02-01,1.25046
2018-01-31,1.24121
2018-01-30,1.24042
2018-01-29,1.23818
2018-01-26,1.24224
2018-01-25,1.23714
2018-01-24,1.24028
2018-01-23,1.22970
2018-01-22,1.22600
2018-01-19,1.22195
2018-01-18,1.22402
2018-01-17,1.21651
2018-01-16,1.22554
2018-01-15,1.22641
2018-01-12,1.21991
2018-01-11,1.20384
2018-01-10,1.19489
2018-01-09,1.19353
2018-01-08,1.19678
2018-01-05,1.20260
2018-01-04,1.20709
2018-01-03,1.20098
2018-01-02,1.20573
2018-01-01,1.20138
2017-12-29,1.19940
2017-12-28,1.19383
2017-12-27,1.18983
2017-12-26,1.18600
2017-12-25,1.18715
2017-12-22,1.18600
2017-12-21,1.18661
2017-12-20,1.18724
2017-12-19,1.18415
2017-12-18,1.17826
2017-12-15,1.17490
2017-12-14,1.17653
2017-12-13,1.18256
2017-12-12,1.17361
2017-12-11,1.17728
2017-12-08,1.17686
2017-12-07,1.17754
2017-12-06,1.18026
2017-12-05,1.18285
2017-12-04,1.18679
2017-12-01,1.18971
2017-11-30,1.18895
2017-11-29,1.18492
2017-11-28,1.18465
2017-11-27,1.18994
2017-11-24,1.19310
2017-11-23,1.18500
2017-11-22,1.18180
2017-11-21,1.17335
2017-11-20,1.17335
2017-11-17,1.17875
2017-11-16,1.17706
2017-11-15,1.17688
2017-11-14,1.17979
